category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-16000-1-float.txt,16000.0,4.0,4.0,,275266.0,118603.0,1.0
uniform,uniform-input-16000-2-float.txt,16000.0,2.0,2.0,,255763.0,124296.0,1.0
uniform,uniform-input-16000-3-float.txt,16000.0,2.0,2.0,,269441.0,125269.0,1.0
uniform,uniform-input-160000-1-float.txt,160000.0,31.0,31.0,,3355422.0,1609559.0,1.0
uniform,uniform-input-160000-2-float.txt,160000.0,35.0,35.0,,3255781.0,1519484.0,1.0
uniform,uniform-input-160000-3-float.txt,160000.0,34.0,34.0,,3307079.0,1594704.0,1.0
uniform,uniform-input-1600000-1-float.txt,939286.0,363.0,363.0,,23209247.0,11296533.0,1.0
uniform,uniform-input-1600000-2-float.txt,1056961.0,338.0,338.0,,26659950.0,13000793.0,1.0
uniform,uniform-input-1600000-3-float.txt,1139013.0,410.0,410.0,,30761843.0,13369217.0,1.0
uniform,uniform-input-1610000-1-float.txt,956031.0,272.0,272.0,,23843939.0,12137940.0,1.0
uniform,uniform-input-1610000-2-float.txt,1056978.0,318.0,318.0,,27026974.0,14003962.0,1.0
uniform,uniform-input-1610000-3-float.txt,1138921.0,353.0,353.0,,31194429.0,12318043.0,1.0
uniform,uniform-input-1620000-1-float.txt,939208.0,288.0,288.0,,22310986.0,11199912.0,1.0
uniform,uniform-input-1620000-2-float.txt,1056989.0,458.0,458.0,,27479559.0,14372233.0,1.0
uniform,uniform-input-1620000-3-float.txt,1138959.0,390.0,390.0,,32151112.0,14626615.0,1.0
uniform,uniform-input-1630000-1-float.txt,956068.0,443.0,443.0,,23382943.0,11261340.0,1.0
uniform,uniform-input-1630000-2-float.txt,1056972.0,349.0,349.0,,25545093.0,12456926.0,1.0
uniform,uniform-input-1630000-3-float.txt,1139019.0,377.0,377.0,,30789783.0,12999645.0,1.0
uniform,uniform-input-1640000-1-float.txt,939216.0,292.0,292.0,,23279726.0,11866782.0,1.0
uniform,uniform-input-1640000-2-float.txt,1056928.0,485.0,485.0,,26821304.0,14119784.0,1.0
uniform,uniform-input-1640000-3-float.txt,1139003.0,378.0,378.0,,31545064.0,12751276.0,1.0
uniform,uniform-input-165000-1-float.txt,165000.0,34.0,34.0,,3399918.0,1728959.0,1.0
uniform,uniform-input-165000-2-float.txt,165000.0,38.0,38.0,,3377541.0,1670317.0,1.0
uniform,uniform-input-165000-3-float.txt,165000.0,36.0,36.0,,3515393.0,1873398.0,1.0
uniform,uniform-input-1650000-1-float.txt,939254.0,288.0,288.0,,23212574.0,11836231.0,1.0
uniform,uniform-input-1650000-2-float.txt,1056966.0,366.0,366.0,,28287709.0,14868450.0,1.0
uniform,uniform-input-1650000-3-float.txt,1138971.0,360.0,360.0,,30973440.0,13140442.0,1.0
uniform,uniform-input-1660000-1-float.txt,939256.0,285.0,285.0,,24064460.0,12117644.0,1.0
uniform,uniform-input-1660000-2-float.txt,1056982.0,443.0,443.0,,25968111.0,13479539.0,1.0
uniform,uniform-input-1660000-3-float.txt,1139007.0,326.0,326.0,,30896151.0,12212680.0,1.0
uniform,uniform-input-1670000-1-float.txt,939250.0,286.0,286.0,,22235069.0,11154163.0,1.0
uniform,uniform-input-1670000-2-float.txt,1056970.0,306.0,306.0,,25873311.0,12918271.0,1.0
